LSM-5341,CLC1CCCCC1C(C1CCCCC1)(C1CCCCC1)N1CCNC1
LSM-45916,CC#CCN1C(N2CCC[C@@H](N)C2)NC2C1C(=O)N(CC1NC(C)C3CCCCC3N1)C(=O)N2C
LSM-1051,CS(=O)(=O)CCNCC1CCC(-C2CCC3NCNC(NC4CCC(OCC5CCCC(F)C5)C(CL)C4)C3C2)O1
LSM-1120,C=CC(=O)NC1CC2C(NC3CCC(F)C(CL)C3)NCNC2CC1OCCCN1CCOCC1
LSM-5467,CCN(CC)C(=S)SSC(=S)N(CC)CC
LSM-2292,CCCC1NC(C)C2C(=O)[NH]C(-C3CC(S(=O)(=O)N4CCN(CC)CC4)CCC3OCC)NN12
LSM-1071,CC(=O)C1C(C)C2CNC(NC3CCC(N4CCNCC4)CN3)NC2N(C2CCCC2)C1=O
LSM-6324,O=C(CCCCCCNC(=O)C1CNC(N(C2CCCCC2)C2CCCCC2)NC1)NO
LSM-6303,CC(C)(C)C1NC(-C2CCCC(NS(=O)(=O)C3C(F)CCCC3F)C2F)C(-C2CCNC(N)N2)S1
LSM-1476;LSM-5290,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](C6CCC(=O)OC6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
LSM-4349,NC1NCNC2C1C(I)CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
LSM-43293,C/C(=C\C1CSC(C)N1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1
LSM-45410,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)C1CCCC(-C2CCCCC2)N1)[C@@H](C)O)B(O)O
LSM-47459,CCOC1CC(C(C)(C)C)CCC1C1=N[C@@](C)(C2CCC(CL)CC2)[C@@](C)(C2CCC(CL)CC2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1
LSM-36812,O=C(O)[C@]1(CC2CCCC(NC3NCCS3)N2)CC[C@@H](OC2CCCC(CL)C2F)CC1
LSM-45663,CN(C)CC1CCC(S(=O)(=O)N2CCC(/C=C/C(=O)NO)C2)CC1
LSM-3667,O=C(NC1CC(C(F)(F)F)CC(C(F)(F)F)C1)C1CC(CL)CCC1O
LSM-1011,CN1CC[C@H](C2C(O)CC(O)C3C(=O)CC(-C4CCCCC4CL)OC23)[C@H](O)C1
LSM-45915,O=C1NC(=O)C(C2CNC3CCCCN23)=C1C1CN2C3C(CC(F)CC13)CN(C(=O)N1CCCCC1)CC2
LSM-5690,CN(CC1CNC2NC(N)NC(N)C2N1)C1CCC(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CC1
LSM-1115,C1CCC2C(-C3CNN4CC(-C5CCC(N6CCNCC6)CC5)CNC34)CCNC2C1
LSM-45518,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
LSM-5199,COC1CC2C(C(OC)C1OC)-C1CCC(OC)C(=O)CC1[C@@H](NC(C)=O)CC2
LSM-45574,NC1NC(NC2CCC3C(C2)CC[C@@H](N2CCCC2)CC3)NN1-C1CC2C(NN1)-C1CCCCC1CCC2
LSM-2013,CC1ONC(C(=O)N2CCN(C(C3CCC(CL)CC3)C3CCC(CL)CC3)CC2)C1[N+](=O)[O-]
LSM-1132,CC(C)(C)C1CNC(CSC2CNC(NC(=O)C3CCNCC3)S2)O1
LSM-1025,OCCCNC1CC(-C2CCNC(NC3CCCC(CL)C3)N2)CCN1
LSM-1194,COC1CCC2CC(-C3[NH]C(-C4CCC([S+](C)[O-])CC4)NC3-C3CCNCC3)CCC2C1
LSM-1101,O=C(NOC[C@H](O)CO)C1CCC(F)C(F)C1NC1CCC(I)CC1F
LSM-46042,NNC(=O)C1CCNCC1
LSM-1062,CCN1CC(-C2CCNC3[NH]C(-C4CCCC(CN(C)C)C4)CC23)C(-C2CCC(NC(=O)N(C)C)CC2)N1
LSM-1130,CC1CCC(NC(=O)C2CCC(CN3CCN(C)CC3)CC2)CC1NC1NC(-C2CCCNC2)CS1
LSM-1032,CN1CCN(CCOC2CC(OC3CCOCC3)C3C(NC4C(CL)CCC5C4OCO5)NCNC3C2)CC1
LSM-1186,C1CC(OCCN2CCCCC2)CC(-C2[NH]NC3CCC(-C4NC[NH]N4)CC23)C1
LSM-5855,NC1NCN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
LSM-5430,CC(=O)N1CCN(C2CCC(OC[C@H]3CO[C@](CN4CCNC4)(C4CCC(CL)CC4CL)O3)CC2)CC1
LSM-45988,NC(O)=NO
LSM-1167,COC1CCC(-C2CC3NCCN3C(NC3NCCCC3C(N)=O)N2)CC1OC
LSM-4738,CC1(C)CCC(C2CCC(CL)CC2)=C(CN2CCN(C3CCC(C(=O)NS(=O)(=O)C4CCC(N[C@H](CCN5CCOCC5)CSC5CCCCC5)C(S(=O)(=O)C(F)(F)F)C4)CC3)CC2)C1
LSM-47425,O=C(CSC1NC2C(C(=O)N1-C1CCCCC1)SCC2)NC1CCC(-C2CCCCC2)CN1
LSM-1014,COC1CC2NCN(-C3CC(OCC4CCCCC4C(F)(F)F)C(C(N)=O)S3)C2CC1OC
LSM-24954,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
LSM-1040,COC1CC(NC2NCC(F)C(NC3CCC4C(N3)NC(=O)C(C)(C)O4)N2)CC(OC)C1OC
LSM-6286,CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)C1CCCCC1)[C@H](O)C(=O)NO
LSM-45984,COC1CCCC(NC2C(C(N)=O)CNC3C(C)CC(S(=O)(=O)C4CCCC(C(=O)N(C)C)C4)CC23)C1
LSM-1124,CN1CNC(-C2CC3NCCC(OC4CCC(NC(=S)NC(=O)CC5CCCCC5)CC4F)C3S2)C1
LSM-1165,CC1CC(C(=O)NOCCO)C(NC2CCC(I)CC2F)N(C)C1=O
LSM-47132,CN1CCN(C2CCC(NC3CC(-C4CCCC(-N5CCC6CC(C7CC7)CC(F)C6C5=O)C4CO)CN(C)C3=O)NC2)CC1
LSM-2379,CCCCC1OC2CCCCC2C1C(=O)C1CC(I)C(OCCN(CC)CC)C(I)C1
LSM-43181,O=C(/C=C/C1CCCC(S(=O)(=O)NC2CCCCC2)C1)NO
LSM-45724,COC1CC(OC)C2C(=O)[NH]C(-C3CC(C)C(OCCO)C(C)C3)NC2C1
LSM-1211,CN1C2CCCCC2C2C3C(C4C5CCCCC5N(CCC#N)C4C21)CNC3=O
LSM-2499,O=C1C2CCCC3CCCC(C23)C(=O)N1CCCCCC(O)=NO
LSM-42802,COC1CCC(S(=O)(=O)N(C(C)=O)C2CCCCC2/C=C/C2CC[N+]([O-])CC2)CC1
LSM-1121,CC1CCCC(-C2[NH]C(C(C)(C)C)NC2-C2CCC3NCCNC3C2)N1
LSM-45948,C=CC(=O)NC1CCCC(NC2NC(NC3CCC(OCCOC)CC3)NCC2F)C1
LSM-1144,CCOC1CCN(-C2CCC(F)CC2)C(=O)C1C(=O)NC1CCC(OC2CCNC(N)C2CL)C(F)C1
LSM-6308,COC1CC(CCC2CC(NC(=O)C3CCC(N4C[C@@H](C)N[C@@H](C)C4)CC3)[NH]N2)CC(OC)C1
LSM-1158,COC1CC2C(OC3CCC(NC(=O)C4(C(=O)NC5CCC(F)CC5)CC4)CC3F)CCNC2CC1OCCCN1CCOCC1
LSM-1005,COC1CC2NCCC(OC3CCC(NC(=O)NC4CC(C)ON4)C(CL)C3)C2CC1OC
LSM-1037,CC(C)(C)C1CC(NC(=O)NC2CCC(-C3CN4C(N3)SC3CC(OCCN5CCOCC5)CCC34)CC2)NO1
LSM-2309,O=C(C1CCC(NC2NCCC(-C3CC4CCCCC4S3)N2)CC1)N1CCC(N2CCCC2)CC1
LSM-2382,CCC1CCC(OCC2CCCCC2C(=O)NC2CCC3NC(C)CC(N)C3C2)CC1
LSM-1263,CN(C)CCC(C1CCC(CL)CC1)C1CCCCN1
LSM-1131,O=C1NC(=O)[C@@H](C2CN3C4C(CCCC24)CCC3)[C@@H]1C1C[NH]C2CCCCC12
LSM-45849,CNC(=O)C1CCCCC1NC1NC(NC2CCC3C(C2OC)CCC[C@H](N2CCN(CCO)CC2)C3)NCC1CL
LSM-1136,NC(=O)NC1SC(-C2CCC(F)CC2)CC1C(N)=O
LSM-1050,CC1CCC(NC(=O)C2CCCC(C(C)(C)C#N)C2)CC1NC1CCC2NCN(C)C(=O)C2C1
LSM-1179,O=C(NC1CCC(OC(F)(F)F)CC1)C1SCCC1NCC1CCNC2CCCCC12
LSM-45831,CC(=O)N1CCN(CCOC2CCC(C3CCN(C4=NN5C(NNC5C(F)(F)F)CC4)CC3)CC2)CC1
LSM-2703,FC1CCC(C(OCCN2CCN(CCCC3CCCCC3)CC2)C2CCC(F)CC2)CC1
LSM-45437,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1C1CCC(NC3NCC(C(F)(F)F)C(NC4CCC4)N3)CC12
LSM-4944,CC(C)C[C@H](NC(=O)CNC(=O)C1CC(CL)CCC1CL)B(O)O
LSM-1127,CN1CCN(C2CCC3[NH]C(-C4C(N)C5C(F)CCCC5[NH]C4=O)NC3C2)CC1
LSM-47120,COC1CC(-C2CC(-C3CCCC(O)C3)CNC2N)CC(OC)C1OC
LSM-2287,CO[C@@H]1[C@H](N(C)C(=O)C2CCCCC2)C[C@H]2O[C@]1(C)N1C3CCCCC3C3C4C(C5C6CCCCC6N2C5C31)C(=O)NC4
LSM-6335,COC1CC2C(CC1-C1C(C)NOC1C)NCC1[NH]C(=O)N([C@H](C)C3CCCCN3)C12
LSM-43281,CC1=NN(C2CCC(C(=O)O)CC2)C(=O)/C1=C/C1CCC(-C2CC(C)C(C)CC2[N+](=O)[O-])O1
LSM-46971,NC(=O)C1CNC(N[C@@H]2CCCC[C@@H]2N)NC1NC1CCCC(-N2NCCN2)C1
LSM-1155,CLC1CCC(C2(C3CCC(-C4CN[NH]C4)CC3)CCNCC2)CC1
LSM-42800,CCN(CC)CCNC(=O)C1C(C)[NH]C(/C=C2\C(=O)NC3CCC(F)CC32)C1C
LSM-2334,OC1(C2CCC(CL)C(C(F)(F)F)C2)CCN(CCCC(C2CCC(F)CC2)C2CCC(F)CC2)CC1
LSM-1210,CC1CC(N2CCOCC2)CC2[NH]C(-C3C(NC[C@@H](O)C4CCCC(CL)C4)CC[NH]C3=O)NC12
LSM-4353,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
LSM-45220,CC(C)CCN1C2NC(NC3CC(F)C(O)C(F)C3)NCC2N(C)C(=O)C1C
LSM-43216,O=C(/C=C/C1CCCNC1)NCCCCC1CCN(C(=O)C2CCCCC2)CC1
LSM-45710,FC(F)(F)C1CCC(/C=C/C2NC(COC3CCC(CCCCN4CCNN4)CC3)CO2)CC1
LSM-4062,COC1CCCC2C1C(=O)C1C(O)C3C(C(O)C1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
LSM-45637,NC1CCCC2C1C(=O)N(C1CCC(=O)NC1=O)C2=O
LSM-2193,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1
LSM-2219,CCCCC1C(=O)N(C2CCCCC2)N(C2CCCCC2)C1=O
LSM-2936,CNCCCC1C2CCCCC2C=CC2CCCCC21
LSM-4105,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(C2NCCCN2)CC1
LSM-3171,CN(C)CCCN1C2CCCCC2CCC2CCC(CL)CC21
LSM-46889,CN1C(=O)CC(N2CCC[C@@H](N)C2)N(CC2CCCCC2C#N)C1=O
LSM-4031,CCC1NN(CCCN2CCN(C3CCCC(CL)C3)CC2)C(=O)N1CCOC1CCCCC1
LSM-1180,CN(C)CC[C@H](CSC1CCCCC1)NC1CCC(S(=O)(=O)NC(=O)C2CCC(N3CCN(CC4CCCCC4-C4CCC(CL)CC4)CC3)CC2)CC1[N+](=O)[O-]
LSM-4255,CN1C(=O)N(-C2CCC(C(C)(C)C#N)CC2)C2C3CC(-C4CNC5CCCCC5C4)CCC3NCC21
LSM-1099,CC1CN(-C2CC(NC(=O)C3CCC(C)C(NC4NCCC(-C5CCCNC5)N4)C3)CC(C(F)(F)F)C2)CN1
LSM-45153,CNC(=O)C1CCC(NC2NCC(C(F)(F)F)C(NCC3NCCNC3N(C)S(C)(=O)=O)N2)CC1
LSM-45239,COC1CCC(-C2CC3C(C)NC(N)NC3N([C@H]3CC[C@H](OCCO)CC3)C2=O)CN1
LSM-45924,O=C(NC1NC2CCCC(-C3CCC(CN4CCS(=O)(=O)CC4)CC3)N2N1)C1CC1
LSM-47437,COC1CCC(CCC2NC3CC(-C4C(C)NOC4C)CCC3N2C[C@H](C)N2CCOCC2)CC1CL
LSM-1055,O=C(NC1CCCC(NC2NCC(BR)C(NCCC3C[NH]CN3)N2)C1)N1CCCC1
LSM-3822,NC1NC2C(CNN2CCC2CCCCC2)C2NC(-C3CCCO3)NN12
LSM-1139,N#CC[C@H](C1CCCC1)N1CC(-C2NCNC3[NH]CCC23)CN1
LSM-45786,CC1CC(-C2NC(-C3CCC(OC(F)(F)F)CC3)NO2)NN1CC1CCNC(N2CCN(C3CC3)CC2)C1
LSM-6237,O=C(O)C1CCC2CC(-C3CCC(O)C(C45CC6CC(CC(C6)C4)C5)C3)CCC2C1
LSM-4933,COC1CCC(C(=O)CC2(O)C(=O)NC3C(CL)CCC(CL)C32)CC1
LSM-45281,CC(C)C1CC(-C2N[NH]C(=O)N2-C2CCC3C(CCN3C)C2)C(O)CC1O
LSM-45630,CC(C)NC(=O)COC1CCCC(-C2NC(NC3CCC4[NH]NCC4C3)C3CCCCC3N2)C1
LSM-45496,COC[C@H](NC(=O)C1CNC(C)S1)C(=O)N[C@@H](COC)C(=O)N[C@@H](CC1CCCCC1)C(=O)[C@@]1(C)CO1
LSM-5887,CLC1CCC2C(C1)CCC1CCCNC1C2=C1CCNCC1
LSM-45806,O=C(O)C[C@H](O)C[C@H](O)/C=C/C1C(C2CC2)NC2CCCCC2C1-C1CCC(F)CC1
LSM-45616,COC1CCCC(OC)C1-C1CCC(C[C@H](NC(=O)C2C(CL)CCCC2CL)C(=O)O)CC1
LSM-45514,CC(C)C1CC(C(=O)N2CC3CCC(CN4CCN(C)CC4)CC3C2)C(O)CC1O
LSM-1181,CC1CNC(-C2CNC(NCCNC3CCC(C#N)CN3)NC2-C2CCC(CL)CC2CL)[NH]1
LSM-45680,CC1NC(C#CC2CCNC(CL)C2)C(C)N1-C1CCC(F)CC1
LSM-45591,NCCCCN(CC1NC2CCCCC2[NH]1)[C@H]1CCCC2CCCNC21
LSM-46203,CCCCOC1C(C(=O)C2C(F)CC(C)CC2F)CNC2[NH]NCC12
LSM-6258,CN1CNCC1[C@@](N)(C1CCC(CL)CC1)C1CCC2C(C1)C(-C1CCCC(CL)C1)CC(=O)N2C
LSM-1023,CC1CCC(NC(=O)C2CCC(CN3CCN(C)CC3)CC2)CC1NC1NCCC(-C2CCCNC2)N1
LSM-5662,CC[C@@]1(O)C(=O)OCC2C1CC1N(C2=O)CC2CC3C(CN(C)C)C(O)CCC3NC2-1
LSM-2655,CN1CCC[C@@H]1CCO[C@](C)(C1CCCCC1)C1CCC(CL)CC1
LSM-47134,CC1NC2C(-C3CNC(N)NC3)NC(N3CCOCC3)NC2N1C(C)C
LSM-47602,COC1CC2C(CC1OC(C)C)[C@H](C1CCC(CL)CC1)N(C1CCC(N(C)C[C@H]3CC[C@H](N4CCN(C)C(=O)C4)CC3)CC1)C(=O)C2
LSM-1172,CC1CC(C(C)NC2CCCCC2)C2NC(N3CCOCC3)CC(=O)N2C1
LSM-5218,NC1NCN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
LSM-5771,CC(C)C1C(C(=O)NC2CCCCC2)C(-C2CCCCC2)C(-C2CCC(F)CC2)N1CC[C@@H](O)C[C@@H](O)CC(=O)O
LSM-45758,COC(=O)N(C)C1C(N)NC(-C2NN(CC3CCCCC3F)C3NCCCC23)NC1N
